Text,Label,type
"  SELECT reach,pictured,model FROM shoot LEFT JOIN Orders ON wet.noonID =  record.lift ORDER BY pick.safety",0,sql
SELECT volume ( s ) FROM girl INNER JOIN,0,sql
"1   )    )    as potk where 5040  =  5040 or elt  (  5873  =  5873,sleep  (  5   )    )   #",1,sql
"<style>:target {color: red;}</style><map id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></map>",2,xss
kellogg@viajesinternacionales.ne,0,sql
"	 </span><link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r935243608""/> </li>",0,xss
"<style>@keyframes x{}</style><summary style=""animation-name:x"" onanimationend=""alert(1)""></summary>",2,xss
"<li><a href=""/wiki/Mixed_reality"" title=""Mixed reality"">Mixed reality </a> </li>",0,xss
SELECT MIN ( higher )  AS bell FROM course,0,xss
"plaa mig de can clos, 122",0,sql
FROM  ( SELECT DISTINCT roll FROM independent ) ,0,sql
	 </span>,0,xss
"1  )   or 1022  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",1,xss
compte,0,sql
SELECT COUNT ( DISTINCT lead )  FROM state,0,xss
"1%""   )    )    and 3754  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  3754  =  3754  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )   and    (    (   ""%""  =  """,1,sql
"<body oncontextmenu=""alert(1)"">test</body>",2,xss
"1' procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )   and 'zlxw'  =  'zlxw",1,sql
SELECT * FROM prize WHERE west = 'source'  OR usually = 'riding',0,sql
"<ul><li><a href=""/wiki/Francis_Bacon"" title=""Francis Bacon"">Francis Bacon </a> </li>",0,xss
SELECT TOP 50 PERCENT * FROM flight SELECT * FROM notice FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM wild,0,sql
"SELECT * FROM west WHERE wide BETWEEN ""information"" AND    ""stomach""",0,sql
SELECT * FROM torn,0,sql
"<head draggable=""true"" ondrag=""alert(1)"">test</head>",2,xss
SELECT TOP 50 PERCENT * FROM shallow,0,sql
"INSERT INTO pick ( tip, could, specific, far, explore, seat )  VALUES  ( 'complete', 'nine'. therefore', 'careful', 'consonant', 'grown', 'become' )  ",0,sql
walborn@19horas.cat,0,sql
SELECT * FROM scientific WHERE year NOT BETWEEN 'where' AND 'yard',0,xss
"<h3><span class=""mw-headline"" id=""Probabilistic_methods_for_uncertain_reasoning"">Probabilistic methods for uncertain reasoning ",0,xss
"1'   )    )     )   procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )   and    (    (     (  'aqdj'  =  'aqdj",1,sql
torralba del ro,0,sql
"	<h3 id=""p-cactions-label"">",0,xss
SELECT * FROM  ( SELECT operation FROM win ) ,0,sql
SELECT COUNT ( earth ) FROM animal,0,sql
